Category,ElmtName,Levels,ElmtNot,Element,AFNot,-5,-4,-3,-2,-1,BASE,1,2,3,4,5,DGrade,ElmntLvl,AddFeat,AFLvl
ARTISTIC ELEMENTS,Artistic Block ,Level B,ABB,AB,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
ARTISTIC ELEMENTS,Artistic Block ,Level 1,AB1,AB,,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,1,,
ARTISTIC ELEMENTS,Artistic Block ,Level 2,AB2,AB,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,2,,
ARTISTIC ELEMENTS,Artistic Circle ,Level B,ACB,AC,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
ARTISTIC ELEMENTS,Artistic Circle ,Level 1,AC1,AC,,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,1,,
ARTISTIC ELEMENTS,Artistic Circle ,Level 2,AC2,AC,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,2,,
ARTISTIC ELEMENTS,Artistic Line ,Level B,ALB,AL,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
ARTISTIC ELEMENTS,Artistic Line ,Level 1,AL1,AL,,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,1,,
ARTISTIC ELEMENTS,Artistic Line ,Level 2,AL2,AL,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,2,,
ARTISTIC ELEMENTS,Artistic Wheel ,Level B,AWB,AW,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
ARTISTIC ELEMENTS,Artistic Wheel ,Level 1,AW1,AW,,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,1,,
ARTISTIC ELEMENTS,Artistic Wheel ,Level 2,AW2,AW,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,2,,
CREATIVE ELEMENT,Creative Intersection ,Level 1,CrI1,CrI,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,1,,
CREATIVE ELEMENT,Creative Lift ,Level 1,CrL1,CrL,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,1,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level B,GLB,GL,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,B,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 1,GL1,GL,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,1,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 1,GL1<,GL,,-1.88,-1.5,-1.13,-0.75,-0.38,3.75,0.38,0.75,1.13,1.5,1.88,1,1,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 1,GL1<<,GL,,-1.63,-1.3,-0.98,-0.65,-0.33,3.25,0.33,0.65,0.98,1.3,1.63,2,1,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 2,GL2,GL,,-2.5,-2.0,-1.5,-1.0,-0.5,5.0,0.5,1.0,1.5,2.0,2.5,0,2,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 2,GL2<,GL,,-2.38,-1.9,-1.43,-0.95,-0.48,4.75,0.48,0.95,1.43,1.9,2.38,1,2,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 2,GL2<<,GL,,-2.13,-1.7,-1.28,-0.85,-0.43,4.25,0.43,0.85,1.28,1.7,2.13,2,2,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 3,GL3,GL,,-3.5,-2.8,-2.1,-1.4,-0.7,7.0,0.7,1.4,2.1,2.8,3.5,0,3,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 3,GL3<,GL,,-3.38,-2.7,-2.03,-1.35,-0.68,6.75,0.68,1.35,2.03,2.7,3.38,1,3,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 3,GL3<<,GL,,-3.13,-2.5,-1.88,-1.25,-0.63,6.25,0.63,1.25,1.88,2.5,3.13,2,3,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 4,GL4,GL,,-4.0,-3.2,-2.4,-1.6,-0.8,8.0,0.8,1.6,2.4,3.2,4.0,0,4,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 4,GL4<,GL,,-3.88,-3.1,-2.33,-1.55,-0.78,7.75,0.78,1.55,2.33,3.1,3.88,1,4,,
GROUP LIFT ELEMENT,GROUP LIFT ELEMENT,Level 4,GL4<<,GL,,-3.63,-2.9,-2.18,-1.45,-0.73,7.25,0.73,1.45,2.18,2.9,3.63,2,4,,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level B,IB,I,-,-0.13,-0.1,-0.08,-0.05,-0.03,0.25,0.03,0.05,0.08,0.1,0.13,0,B,-,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 1,IB,I,piB,-0.25,-0.2,-0.15,-0.1,-0.05,0.5,0.05,0.1,0.15,0.2,0.25,0,B,pi,B
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 2,I1,I,-,-0.38,-0.3,-0.23,-0.15,-0.08,0.75,0.08,0.15,0.23,0.3,0.38,0,1,-,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 3,IB,I,pi1,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,pi,1
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 4,I1,I,piB,-0.63,-0.5,-0.38,-0.25,-0.13,1.25,0.13,0.25,0.38,0.5,0.63,0,1,pi,B
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 5,I1,I,pi1,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,pi,1
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 6,IB,I,pi2,-0.88,-0.7,-0.53,-0.35,-0.18,1.75,0.18,0.35,0.53,0.7,0.88,0,B,pi,2
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 7,I2,I,-,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,-,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 8,I1,I,pi2,-1.13,-0.9,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.9,1.13,0,1,pi,2
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 9,IB,I,pi3,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,B,pi,3
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 10,I2,I,piB,-1.38,-1.1,-0.83,-0.55,-0.28,2.75,0.28,0.55,0.83,1.1,1.38,0,2,pi,B
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 11,I3,I,-,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,-,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 12,I2,I,pi1,-1.63,-1.3,-0.98,-0.65,-0.33,3.25,0.33,0.65,0.98,1.3,1.63,0,2,pi,1
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 13,I1,I,pi3,-1.75,-1.4,-1.05,-0.7,-0.35,3.5,0.35,0.7,1.05,1.4,1.75,0,1,pi,3
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 14,I3,I,piB,-1.88,-1.5,-1.13,-0.75,-0.38,3.75,0.38,0.75,1.13,1.5,1.88,0,3,pi,B
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 15,I4,I,-,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,-,
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 16,I4,I,piB,-2.13,-1.7,-1.28,-0.85,-0.43,4.25,0.43,0.85,1.28,1.7,2.13,0,4,pi,B
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 17,IB,I,pi4,-2.25,-1.8,-1.35,-0.9,-0.45,4.5,0.45,0.9,1.35,1.8,2.25,0,B,pi,4
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 18,I2,I,pi2,-2.38,-1.9,-1.43,-0.95,-0.48,4.75,0.48,0.95,1.43,1.9,2.38,0,2,pi,2
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 19,I3,I,pi1,-2.5,-2.0,-1.5,-1.0,-0.5,5.0,0.5,1.0,1.5,2.0,2.5,0,3,pi,1
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 20,I4,I,pi1,-2.63,-2.1,-1.58,-1.05,-0.53,5.25,0.53,1.05,1.58,2.1,2.63,0,4,pi,1
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 21,I1,I,pi4,-2.75,-2.2,-1.65,-1.1,-0.55,5.5,0.55,1.1,1.65,2.2,2.75,0,1,pi,4
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 22,I2,I,pi3,-2.88,-2.3,-1.73,-1.15,-0.58,5.75,0.58,1.15,1.73,2.3,2.88,0,2,pi,3
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 23,I3,I,pi2,-3.0,-2.4,-1.8,-1.2,-0.6,6.0,0.6,1.2,1.8,2.4,3.0,0,3,pi,2
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 24,I4,I,pi2,-3.13,-2.5,-1.88,-1.25,-0.63,6.25,0.63,1.25,1.88,2.5,3.13,0,4,pi,2
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 25,I2,I,pi4,-3.25,-2.6,-1.95,-1.3,-0.65,6.5,0.65,1.3,1.95,2.6,3.25,0,2,pi,4
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 26,I3,I,pi3,-3.38,-2.7,-2.03,-1.35,-0.68,6.75,0.68,1.35,2.03,2.7,3.38,0,3,pi,3
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 27,I4,I,pi3,-3.5,-2.8,-2.1,-1.4,-0.7,7.0,0.7,1.4,2.1,2.8,3.5,0,4,pi,3
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 28,I3,I,pi4,-3.63,-2.9,-2.18,-1.45,-0.73,7.25,0.73,1.45,2.18,2.9,3.63,0,3,pi,4
INTERSECTION ELEMENT,INTERSECTION ELEMENT,Level 29,I4,I,pi4,-3.75,-3.0,-2.25,-1.5,-0.75,7.5,0.75,1.5,2.25,3.0,3.75,0,4,pi,4
LINEAR AND ROTATING ELEMENTS,Block ,Level B,BB,B,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
LINEAR AND ROTATING ELEMENTS,Block ,Level 1,B1,B,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,,
LINEAR AND ROTATING ELEMENTS,Block ,Level 2,B2,B,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Block ,Level 3,B3,B,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Block ,Level 4,B4,B,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
LINEAR AND ROTATING ELEMENTS,Line ,Level B,LB,L,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 1,L1,L,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 2,L2,L,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 3,L3,L,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 4,L4,L,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level B,CB,C,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 1,C1,C,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 2,C2,C,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 3,C3,C,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 4,C4,C,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level B,WB,W,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
